proteinID	start	end	domainName	geneSymbol	PDBid	geneID
ENSP00000371627	123	155	PF01352	ZNF205	NA	ENSG00000122386
ENSP00000219091	123	155	PF01352	ZNF205	NA	ENSG00000122386
ENSP00000403306	123	155	PF01352	ZNF205	NA	ENSG00000122386
ENSP00000460890	49	81	PF01352	ZNF205	NA	ENSG00000122386
ENSP00000460890	225	247	PF00096	ZNF205	NA	ENSG00000122386
ENSP00000371627	364	386	PF12874	ZNF205	NA	ENSG00000122386
ENSP00000219091	364	386	PF12874	ZNF205	NA	ENSG00000122386
ENSP00000371627	448	470	PF00096	ZNF205	NA	ENSG00000122386
ENSP00000219091	448	470	PF00096	ZNF205	NA	ENSG00000122386
ENSP00000371627	476	498	PF00096	ZNF205	NA	ENSG00000122386
ENSP00000459177	373	395	PF00096	ZNF213	NA	ENSG00000085644
ENSP00000459293	184	206	PF00096	ZNF213	NA	ENSG00000085644
ENSP00000380077	335	346	PF13912	ZNF200	NA	ENSG00000010539
ENSP00000405786	336	347	PF13912	ZNF200	NA	ENSG00000010539
ENSP00000395723	336	347	PF13912	ZNF200	NA	ENSG00000010539
ENSP00000380079	335	346	PF13912	ZNF200	NA	ENSG00000010539
ENSP00000458508	335	346	PF13912	ZNF200	NA	ENSG00000010539
ENSP00000380077	279	301	PF00096	ZNF200	NA	ENSG00000010539
ENSP00000405786	280	302	PF00096	ZNF200	NA	ENSG00000010539
ENSP00000395723	280	302	PF00096	ZNF200	NA	ENSG00000010539
ENSP00000380079	279	301	PF00096	ZNF200	NA	ENSG00000010539
ENSP00000403892	41	127	PF02023	ZNF213	NA	ENSG00000085644
