transID	start	end	domainName	geneSymbol	PDBid	geneID
ENST00000382192	123	155	PF01352	ZNF205	NA	ENSG00000122386
ENST00000219091	123	155	PF01352	ZNF205	NA	ENSG00000122386
ENST00000414351	123	155	PF01352	ZNF205	NA	ENSG00000122386
ENST00000570935	49	81	PF01352	ZNF205	NA	ENSG00000122386
ENST00000570935	225	247	PF00096	ZNF205	NA	ENSG00000122386
ENST00000382192	364	386	PF12874	ZNF205	NA	ENSG00000122386
ENST00000219091	364	386	PF12874	ZNF205	NA	ENSG00000122386
ENST00000382192	448	470	PF00096	ZNF205	NA	ENSG00000122386
ENST00000219091	448	470	PF00096	ZNF205	NA	ENSG00000122386
ENST00000382192	476	498	PF00096	ZNF205	NA	ENSG00000122386
ENST00000576416	373	395	PF00096	ZNF213	NA	ENSG00000085644
ENST00000574575	184	206	PF00096	ZNF213	NA	ENSG00000085644
ENST00000396868	335	346	PF13912	ZNF200	NA	ENSG00000010539
ENST00000414144	336	347	PF13912	ZNF200	NA	ENSG00000010539
ENST00000431561	336	347	PF13912	ZNF200	NA	ENSG00000010539
ENST00000396870	335	346	PF13912	ZNF200	NA	ENSG00000010539
ENST00000575948	335	346	PF13912	ZNF200	NA	ENSG00000010539
ENST00000396868	279	301	PF00096	ZNF200	NA	ENSG00000010539
ENST00000414144	280	302	PF00096	ZNF200	NA	ENSG00000010539
ENST00000431561	280	302	PF00096	ZNF200	NA	ENSG00000010539
ENST00000396870	279	301	PF00096	ZNF200	NA	ENSG00000010539
ENST00000416391	41	127	PF02023	ZNF213	NA	ENSG00000085644
